id	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
.net	26	0.038461538461538464	3.846	1.4230769230769231	42.308	1.4615384615384615
19th century novels task force	229	0.519650655021834	23.144	3.816593886462882	54.148	4.336244541484716
24	20	0.0	0.0	0.55	30.0	0.55
a cappella	105	0.05714285714285714	3.81	0.42857142857142855	19.048	0.4857142857142857
a song of ice and fire	87	0.04597701149425287	2.299	0.4827586206896552	18.391	0.5287356321839081
abkhazia	60	0.65	23.333	4.6	51.667	5.25
abu dhabi	28	0.10714285714285714	10.714	1.2857142857142858	25.0	1.3928571428571428
academic journal	303	4.363036303630363	54.785	0.6072607260726073	26.073	4.97029702970297
accounting	152	1.263157894736842	33.553	1.7763157894736843	51.316	3.039473684210526
acoustics	70	6.571428571428571	52.857	2.257142857142857	57.143	8.82857142857143
addiction and recovery	81	13.037037037037036	75.309	4.666666666666667	80.247	17.703703703703702
adelaide	216	0.11574074074074074	4.167	1.3518518518518519	40.741	1.4675925925925926
adele	17	0.0	0.0	0.058823529411764705	5.882	0.058823529411764705
adelie land	6	4.833333333333333	50.0	5.833333333333333	50.0	10.666666666666666
adoption, fostering, orphan care and displacement	74	4.054054054054054	41.892	3.0405405405405403	50.0	7.094594594594595
adult swim	42	0.023809523809523808	2.381	0.2619047619047619	21.429	0.2857142857142857
aerospace biography	1946	0.047276464542651594	2.672	1.775436793422405	42.703	1.8227132579650565
aesthetics	221	2.9638009049773757	39.819	7.361990950226244	68.326	10.32579185520362
afc	14072	1.312677657760091	16.87	0.7694002274019329	24.467	2.082077885162024
afghanistan	651	0.6666666666666666	19.816	4.61136712749616	49.002	5.278033794162827
africa	6262	1.4658256148195465	23.14	2.6900351325455127	41.999	4.155860747365059
africa road transport	7	0.0	0.0	0.0	0.0	0.0
african diaspora	3149	0.6027310257224515	18.609	2.7672276913305813	50.111	3.3699587170530325
african diaspora visual arts	21	0.8095238095238095	42.857	2.857142857142857	66.667	3.6666666666666665
african military history	1913	0.36644014636696287	12.441	3.051228437009932	47.778	3.4176685833768947
african protected areas	35	0.5142857142857142	22.857	1.7428571428571429	48.571	2.257142857142857
agriculture	1354	3.9054652880354506	41.728	2.557607090103397	48.006	6.463072378138848
ahmadiyya	23	0.43478260869565216	17.391	7.6521739130434785	47.826	8.08695652173913
aids	335	6.385074626865672	50.746	2.2686567164179103	47.164	8.653731343283582
air sports	603	0.009950248756218905	0.498	0.14096185737976782	7.131	0.15091210613598674
aircraft	8826	0.021867210514389303	0.974	0.8962157262633129	41.514	0.9180829367777023
aircraft engine	807	0.06319702602230483	2.23	0.7980173482032218	34.944	0.8612143742255266
airline	274	0.014598540145985401	1.46	0.7299270072992701	28.832	0.7445255474452555
airport	2288	0.008741258741258742	0.524	0.42701048951048953	19.318	0.4357517482517482
alabama	1116	0.1989247311827957	8.513	1.5465949820788532	37.724	1.7455197132616487
alabama road transport	36	0.0	0.0	0.027777777777777776	2.778	0.027777777777777776
alaska	697	0.7073170731707317	12.769	1.6284074605451937	39.742	2.3357245337159256
alaska road transport	10	0.0	0.0	0.8	40.0	0.8
albania	765	0.5215686274509804	13.203	5.142483660130719	54.771	5.6640522875817
