id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
.net	0.5947	0.7019	2	479	16650	26	0.0385	3.846	1.4231	42.308	1.4615
19th century novels task force	0.1717	0.3798	2	1511	104603	229	0.5371	24.017	3.8166	54.148	4.3362
24	0.735	-0.089	2	826	9300	20	0	0	0.55	30	0.55
a cappella	0.5863	0.1667	2	1157	25089	105	0.0667	3.81	0.4286	19.048	0.4857
a song of ice and fire	0.7655	0.026	2	1023	30966	87	0.046	2.299	0.4828	18.391	0.5287
abkhazia	-1.0263	0.0684	4	1059	57430	60	0.7	23.333	4.6	51.667	5.25
abu dhabi	0.2491	0.0623	2	1377	28066	28	0.1071	10.714	1.2857	25	1.3929
academic journal	0.0329	0.5135	1	1822	249521	303	4.4191	54.785	0.6073	26.073	4.9703
accounting	0.1991	0.2676	2	1559	89635	152	1.3026	33.553	1.7763	51.316	3.0395
acoustics	-0.345	-0.4529	1	1265	44084	70	6.8143	54.286	2.2571	57.143	8.8286
addiction and recovery	0.2981	0.761	1	1241	37839	81	13.3457	76.543	4.6667	80.247	17.7037
adelaide	-0.0654	0.2887	1	1425	67449	216	0.1204	4.63	1.3519	40.741	1.4676
adele	0.6835	0.3015	2	712	20238	17	0	0	0.0588	5.882	0.0588
adelie land	-0.3836	-0.3154	1	1013	13199	6	4.8333	50	5.8333	50	10.6667
"adoption, fostering, orphan care and displacement"	0.0963	0.4491	1	1236	34858	74	4.1216	41.892	3.0405	50	7.0946
adult swim	0.9993	-0.079	2	1003	24201	42	0.0238	2.381	0.2619	21.429	0.2857
aerospace biography	-0.5006	-0.71	6	1790	882966	1946	0.0534	3.032	1.7754	42.703	1.8227
aesthetics	-0.3001	0.4542	4	1768	501882	221	3.0995	41.629	7.362	68.326	10.3258
afc	0.0248	0.3422	1	2042	1821019	14072	1.3702	17.261	0.7694	24.467	2.0821
afghanistan	-0.9129	0.0753	4	1755	653548	651	0.682	20.276	4.6114	49.002	5.278
africa	-0.6741	0.0916	1	2008	3678052	6262	1.5011	23.299	2.69	41.999	4.1559
africa road transport	-0.6374	0.0605	1	191	987	7	0	0	0	0	0
african diaspora	0.3775	-0.1852	3	2010	2669456	3149	0.6243	18.99	2.7672	50.111	3.37
african diaspora visual arts	0.3663	-0.0931	3	745	11213	21	0.9048	42.857	2.8571	66.667	3.6667
african military history	-1.0086	-0.227	6	1900	1665351	1913	0.3764	12.703	3.0512	47.778	3.4177
african protected areas	-0.2579	0.7868	1	569	7222	35	0.5143	22.857	1.7429	48.571	2.2571
agriculture	-0.0576	0.6136	1	1915	687208	1354	4.0295	41.802	2.5576	48.006	6.4631
ahmadiyya	-1.0455	0.6101	4	924	22487	23	0.5217	17.391	7.6522	47.826	8.087
aids	0.3038	0.64	1	1679	184854	335	6.4627	51.045	2.2687	47.164	8.6537
air sports	-0.8365	-1.1995	6	985	46857	603	0.01	0.498	0.141	7.131	0.1509
aircraft	-0.7566	-1.1948	6	1794	3664687	8826	0.0232	1.065	0.8962	41.514	0.9181
aircraft engine	-0.8306	-1.1704	6	1220	197817	807	0.0719	2.602	0.798	34.944	0.8612
airline	-0.191	-0.8426	1	1508	187718	274	0.0182	1.46	0.7299	28.832	0.7445
airport	-0.5021	-1.16	6	1799	951715	2288	0.0101	0.568	0.427	19.318	0.4358
alabama	0.4431	-0.6412	3	1887	753277	1116	0.2025	8.602	1.5466	37.724	1.7455
alabama road transport	0.4164	-0.9784	3	376	4730	36	0	0	0.0278	2.778	0.0278
alaska	-0.1736	-0.7878	3	1769	380124	697	0.7288	12.912	1.6284	39.742	2.3357
alaska road transport	-0.0673	-0.8579	3	348	1789	10	0	0	0.8	40	0.8
albania	-0.9627	-0.0599	6	1912	764372	765	0.5464	13.725	5.1425	54.771	5.6641
albemarle county	0.3849	-0.4028	3	1674	205432	238	0.6092	10.504	2.0924	36.555	2.6891
alberta	0.2739	-0.8573	3	1857	353821	748	0.4987	8.957	1.5307	32.754	2.012
alberta road transport	0.2492	-1.007	3	403	9615	30	0	0	0.2667	16.667	0.2667
album	0.6713	0.4083	2	1865	1945598	8949	0.0057	0.402	1.241	30.629	1.2464
algae	-0.0061	0.8303	1	1193	68234	189	12.4233	74.074	2.5503	55.026	14.5238
algeria	-0.8701	0.0609	4	1726	264415	279	0.8495	21.864	3.6237	42.652	4.4624
alien	0.8056	0.2035	2	1143	29865	35	0.2	11.429	1.8286	48.571	2
alphabet	0.4755	0.5406	2	523	7581	5	0.8	40	1.8	60	2.6
altered states of consciousness	0.013	0.809	1	1525	95249	55	22.5091	92.727	13.1091	94.545	35.3091
alternate history	0.3498	0.4043	2	1399	50974	76	0.2105	10.526	2.1053	47.368	2.2895
alternative education	-0.0662	0.3787	4	1251	34092	65	3.7385	36.923	4.4615	58.462	8
alternative medicine	-0.0228	0.7976	1	1762	370061	424	11.6226	72.406	5.6934	73.349	17.0873
alternative music	0.6089	0.3673	2	1747	684801	1652	0.0139	0.908	1.2185	33.898	1.2312
alternative views	-0.2694	0.547	4	1867	725645	559	6.0626	54.919	8.0215	74.776	13.932
amateur radio	-0.0594	-0.427	2	1231	37531	68	0.3676	19.118	1.5735	51.471	1.9118
american animation	1.0052	0.0233	2	1825	1041045	1373	0.0371	2.84	1.8791	50.401	1.9162
american cinema	0.8403	0.0954	2	1967	2728999	4819	0.0828	4.669	1.7989	37.912	1.8782
american civil war	-0.1716	-0.9372	6	1768	2649965	4185	0.054	2.485	1.1931	28.315	1.2449
american currency	-0.0339	-0.5461	3	1541	96741	114	0.0439	3.509	0.6316	24.561	0.6754
american football	0.7562	-0.7535	3	1495	151785	156	0.4423	7.692	1.5897	29.487	2.0256
american music	0.6618	0.2457	2	1788	653033	575	0.0904	4.174	3.1774	41.739	3.2678
american old west	0.0574	-0.7807	3	1925	845397	480	0.575	19.375	5.3854	69.792	5.9458
american open wheel racing	0.4353	-0.7628	3	1236	124359	212	0.0142	1.415	0.4858	25	0.5
american politics	0.0051	-0.4899	3	1963	3564864	1432	1.1117	24.372	4.7444	42.947	5.817
american revolutionary war	-0.2508	-0.8288	6	1661	859500	1025	0.1454	7.22	3.281	63.024	3.4263
american samoa	-0.1829	-0.758	1	1274	47928	65	0.5538	18.462	0.9231	33.846	1.4769
american television	0.8347	-0.1301	2	1966	1867955	1876	0.0933	4.051	1.2974	28.731	1.3875
amiga	0.6361	0.6605	2	555	9403	34	0.1176	11.765	0.4706	17.647	0.5882
amphibian and reptile	-0.1022	0.9706	1	1503	224239	1026	5.5634	71.832	1.4045	39.864	6.8996
amusement park	0.9206	-0.1543	2	1701	180553	675	0.0578	1.926	0.6044	23.852	0.6563
anabaptist	-0.6458	0.5807	4	1478	143369	150	0.6733	13.333	3.48	46.667	4.1133
analytic philosophy	-0.3807	0.654	4	1185	118595	75	2.1867	56	4.6667	70.667	6.6667
anarchism	-0.3879	0.3573	4	1625	600350	406	1.133	34.483	4.8818	65.271	5.9138
anatomy	0.1231	0.9444	1	1774	429681	1070	9.5056	78.224	3.3953	68.972	12.6981
ancient egypt	-1.0761	0.4832	4	1621	470112	553	1.2731	29.114	6.2911	62.387	7.5425
ancient germanic studies	-0.8543	0.2745	4	1346	172557	170	0.7882	30.588	6.2647	71.176	6.9824
